Vendor Name,"Invoice 
Date",PO Num,"Invoice 
Number",Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Crestview Collection,43137,748304-3,291069,59.95,0,0,748304,59.95,0,,CRESTVIEW 020618 291069 N
Crestview Collection,43138,749900-3,291589,54.5,0,0,749900,54.5,0,,CRESTVIEW 020718 291598 (2) N
Crestview Collection,43138,749356-2,291591,64.95,0,0,749356,68,3.05,,CRESTVIEW 020718 291598 (2) N
Crestview Collection,43137,730712-5,291067,84.95,0,0,730712,424.75,339.8,,CRESTVIEW 020618 291067-68 (2) N
Crestview Collection,43138,749080-1,291595,129.9,0,0,749080,136,6.1,,CRESTVIEW 020718 291595 N
EVERGREEN ENTERPRISES,43132,744567-1,6422310,180,5,0,744567,175,0,,EVERGREEN 020518 6422310 N
EVERGREEN ENTERPRISES,43131,746007-2,6422311,35,5,0,746007,30,0,,EVERGREEN 020518 6422311 N
EVERGREEN ENTERPRISES,43131,746078-2,6422313,22,5,0,746078,17,0,,EVERGREEN 020518 6422313 N
EVERGREEN ENTERPRISES,43138,747177-2,6428078,105,5,0,747177,100,0,,EVERGREEN 020818 6428078 N
EVERGREEN ENTERPRISES,43138,749096-3,6428079,13.5,5,0,749096,8.5,0,,EVERGREEN 020818 6428079 N
EVERGREEN ENTERPRISES,43138,749251-1,6428081,30.5,5,0,749251,25.5,0,,EVERGREEN 020818 6428081 N
EVERGREEN ENTERPRISES,43138,749316-2,6428083,35,5,0,749316,30,0,,EVERGREEN 020818 6428083 N
EVERGREEN ENTERPRISES,43138,749977-2,6428086,35,5,0,749977,30,0,,EVERGREEN 020818 6428086 N
"EXPO DECOR, LLC",43070,714500-1,78764,40,5,0,714500,63,28,,EXPO 020818 78764 N
"EXPO DECOR, LLC",43455,716303-3,78908,77,5,0,716303,194.4,122.4,,EXPO 020818 78908 N
Fireside Lodge,43137,740832-2,69624,575.06,225.06,0,740832,343,-7,,FIRESDIE 020718 69624 N20
Fireside Lodge,43138,737172-1,69820,205,0,0,737172,205.8,0.8,,FIRESIDE 020818 69820 N20
Fireside Lodge,43139,739730-1,69829,185,0,0,739730,186.2,1.2,,FIRESIDE 020818 69829 N20
HiEnd Accents,43129,745650-2,232681,50,5,0,745650,45,0,,HI END 013118 23
HiEnd Accents,43129,746186-2,232682,130,5,0,746186,125,0,,HI END 013118 23
HiEnd Accents,43129,746071-1,232683,80,5,0,746071,75,0,,HI END 013118 23
HiEnd Accents,43129,746103-1,232684,74,5,0,746103,69,0,,HI END 013118 23
HiEnd Accents,43129,745576-1,232685,165,5,0,745576,160,0,,HI END 013118 23
HiEnd Accents,43129,746195-2,232686,44,5,0,746195,39,0,,HI END 013118 23
HiEnd Accents,43129,745975-2,232687,45,5,0,745975,40,0,,HI END 013118 23
HiEnd Accents,43129,745630-3,232688,27,5,0,745630,22,0,,HI END 013118 23
HiEnd Accents,43129,745546-2,232689,636,5,0,745546,631,0,,HI END 013118 23
HiEnd Accents,43129,745836-1,232690,25,5,0,745836,20,0,,HI END 013118 23
HiEnd Accents,43129,746087-1,232691,125,5,0,746087,120,0,,HI END 013118 23
HiEnd Accents,43129,745774-2,232692,85,5,0,745774,80,0,,HI END 013118 23
HiEnd Accents,43129,746356-1,232693,75,5,0,746356,70,0,,HI END 013118 23
HiEnd Accents,43129,746260-2,232694,200,5,0,746260,195,0,,HI END 013118 23
HiEnd Accents,43129,746228-1,232695,130,5,0,746228,125,0,,HI END 013118 23
HiEnd Accents,43129,745925-1,232696,185,5,0,745925,180,0,,HI END 013118 23
HiEnd Accents,43129,745847-2,232697,50,5,0,745847,45,0,,HI END 013118 23
HiEnd Accents,43129,745966-2,232698,85,5,0,745966,80,0,,HI END 013118 23
HiEnd Accents,43129,745928-1,232699,385,5,0,745928,380,0,,HI END 013118 23
HiEnd Accents,43129,745498-4,232700,105,5,0,745498,100,0,,HI END 013118 23
HiEnd Accents,43129,745462-2,232701,228,5,0,745462,223,0,,HI END 013118 23
HiEnd Accents,43129,745437-2,232702,318,5,0,745437,313,0,,HI END 013118 23
HiEnd Accents,43132,747129-1,232996,40,5,0,747129,35,0,,HI END 020718 132 N
HiEnd Accents,43132,747176-1,232997,345,5,0,747176,340,0,,HI END 020718 132 N
HiEnd Accents,43132,747224-2,232998,74.5,5,0,747224,69.5,0,,HI END 020718 132 N
HiEnd Accents,43132,746893-2,232999,351,5,0,746893,346,0,,HI END 020718 132 N
HiEnd Accents,43132,747410-1,233000,147,5,0,747410,142,0,,HI END 020718 132 N
HiEnd Accents,43132,747445-1,233001,85,5,0,747445,80,0,,HI END 020718 132 N
HiEnd Accents,43132,741654-1,233002,175,5,0,741654,170,0,,HI END 020718 132 N
HiEnd Accents,43132,747040-2,233003,235,5,0,747040,230,0,,HI END 020718 132 N
HiEnd Accents,43132,747290-2,233004,160,5,0,747290,155,0,,HI END 020718 132 N
HiEnd Accents,43132,747249-1,233005,95,5,0,747249,90,0,,HI END 020718 132 N
HiEnd Accents,43132,747229-2,233006,50,5,0,747229,45,0,,HI END 020718 132 N
HiEnd Accents,43132,747119-1,233007,85,5,0,747119,80,0,,HI END 020718 132 N
HiEnd Accents,43132,747035-3,233008,22.5,5,0,747035,17.5,0,,HI END 020718 132 N
HiEnd Accents,43132,747225-1,233009,115,5,0,747225,110,0,,HI END 020718 132 N
HiEnd Accents,43132,746850-1,233010,55,5,0,746850,50,0,,HI END 020718 132 N
HiEnd Accents,43132,747385-1,233011,27,5,0,747385,22,0,,HI END 020718 132 N
HiEnd Accents,43132,746977-2,233012,45,5,0,746977,40,0,,HI END 020718 132 N
HiEnd Accents,43132,747196-1,233013,150,5,0,747196,145,0,,HI END 020718 132 N
HiEnd Accents,43132,747948-2,233081,27,5,0,747948,22,0,,HI END 020718 132 N
HiEnd Accents,43132,747878-1,233082,85,5,0,747878,80,0,,HI END 020718 132 N
HiEnd Accents,43132,747854-3,233083,55,5,0,747854,50,0,,HI END 020718 132 N
HiEnd Accents,43132,747844-1,233084,255,5,0,747844,250,0,,HI END 020718 132 N
HiEnd Accents,43132,747715-1,233085,145,5,0,747715,140,0,,HI END 020718 132 N
HiEnd Accents,43132,747753-1,233086,208.5,5,0,747753,203.5,0,,HI END 020718 132 N
HiEnd Accents,43132,747665-1,233087,25,5,0,747665,20,0,,HI END 020718 132 N
HiEnd Accents,43132,747786-1,233088,170,5,0,747786,165,0,,HI END 020718 132 N
HiEnd Accents,43132,747708-1,233089,85,5,0,747708,80,0,,HI END 020718 132 N
HiEnd Accents,43132,747678-1,233090,20,5,0,747678,15,0,,HI END 020718 132 N
HiEnd Accents,43132,747525-1,233091,300,5,0,747525,295,0,,HI END 020718 132 N
HiEnd Accents,43132,747296-1,233092,370,5,0,747296,365,0,,HI END 020718 132 N
HiEnd Accents,43132,747800-1,233093,229,5,0,747800,224,0,,HI END 020718 132 N
HiEnd Accents,43132,747423-3,233094,26,5,0,747423,21,0,,HI END 020718 132 N
HiEnd Accents,43132,747728-1,233095,47,5,0,747728,42,0,,HI END 020718 132 N
HiEnd Accents,43132,747647-1,233096,22.5,5,0,747647,17.5,0,,HI END 020718 132 N
HiEnd Accents,43132,747197-1,233097,227,5,0,747197,222,0,,HI END 020718 132 N
HiEnd Accents,43132,747491-1,233098,115,5,0,747491,110,0,,HI END 020718 132 N
HiEnd Accents,43132,747448-5,233099,27,5,0,747448,22,0,,HI END 020718 132 N
HiEnd Accents,43132,747507-2,233100,30,5,0,747507,25,0,,HI END 020718 132 N
HiEnd Accents,43132,747677-1,233101,295,5,0,747677,290,0,,HI END 020718 132 N
HiEnd Accents,43132,747853-2,233102,152.5,5,0,747853,147.5,0,,HI END 020718 132 N
HiEnd Accents,43133,748538-2,233220,50,5,0,748538,45,0,,HI END 020718 132 N
