Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
Laural Home,43092,17448,45,0,0,724823,45,724823-2,0,,LAURAL HOME 122717 (23)
Kimlor,43083,838963,88.45,6.95,0,724751,81.5,724751-2,0,,KIMLOR 122217 (35)
WGI Gallery,43088,175963,28.72,3,0,724659,25.72,724659-2,0,,WGI 010418 175963
WILD WINGS,43081,337695,63.5,5,0,724423,61.75,724423-1,3.25,Duplicate - NOT UPLOADED,WILD WINGS 122717 (13)
WGI Gallery,43088,175963,70.02,3,0,724371,67.02,724371-2,0,,WGI 010418 175963
WGI Gallery,43088,175963,58.84,3,0,724334,55.84,724334-1,0,,WGI 010418 175963
WGI Gallery,43088,175963,70.02,3,0,724318,67.02,724318-2,0,,WGI 010418 175963
Kimlor,43084,839222,307.45,6.95,0,724316,300.5,724316-1,0,,KIMLOR 122717 (111)
Kimlor,43083,838962,86.45,6.95,0,724301,79.5,724301-1,0,,KIMLOR 122217 (35)
WILD WINGS,43077,337486,100,5,0,724265,95,724265-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (13)
Laural Home,43092,17447,40,0,0,724223,201,724223-5,6,,LAURAL HOME 122717 (23)
Lorec Ranch Wholesale,43090,596,55.99,10,0,724198,45.99,724198-1,0,,LOREC 122717 596
Kimlor,43083,838961,362.95,6.95,0,724186,356,724186-1,0,,KIMLOR 122217 (35)
Silverado Home,43105,6466,619.96,10,0,724126,609.96,724126-1,0,,SILVERADO 010518 6466
Kimlor,43083,838960,86.45,6.95,0,724012,79.5,724012-1,0,,KIMLOR 122217 (35)
Kimlor,43083,838959,54.95,6.95,0,723825,48,723825-1,0,,KIMLOR 122217 (35)
WILD WINGS,43077,337453,56.3,5,0,723815,51.3,723815-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (13)
Colorado Carpets,43100,1712-4,53.5,0,0,723800,133,723800-1,0,,COLORADO CARPETS 010218 BFD1712-4
Crestview Collection,43103,283255,39.95,0,0,723529,39.95,723529-1,0,,CRESTVIEW 010318 (2.2)
WILD WINGS,43091,338505,-58.5,0,0,723456,55.58,723456-1,55.58,Credit - NOT UPLOADED,WILD WINGS 122717 (16)
WILD WINGS,43077,337455,58.5,0,0,723456,55.58,723456-1,55.58,Duplicate - NOT UPLOADED,WILD WINGS 122717 (13)
WILD WINGS,43077,337454,24,5,0,723412,22.8,723412-1,3.8,Duplicate - NOT UPLOADED,WILD WINGS 122717 (13)
"Artistic & Custom Woodturning, Inc.",43089,5288,108,10,0,723361,98,723361-1,0,,ARTISTIC CUSTOM WOOD 122717 (3)
Kimlor,43083,838958,100.45,6.95,0,723322,93.5,723322-1,0,,KIMLOR 122217 (35)
Kimlor,43083,838957,98.2,6.95,0,723245,91.25,723245-1,0,,KIMLOR 122217 (35)
Kimlor,43084,839221,34.95,6.95,0,723241,28,723241-1,-3.55271E-15,,KIMLOR 122717 (111)
WGI Gallery,43083,175872,70.02,3,0,723207,67.02,723207-1,0,,WGI 122917 175872
WGI Gallery,43083,175872,58.84,3,0,723095,55.84,723095-2,0,,WGI 122917 175872
Artisans Gallery,43090,722973-2,29,5,0,722973,24,722973-2,0,,ARTISANS GALLERY 122717 722973-2
Kimlor,43084,839220,34.95,6.95,0,722961,28,722961-1,-3.55271E-15,,KIMLOR 122717 (111)
Kimlor,43088,840000,90.95,6.95,0,722920,84,722920-1,0,,KIMLOR 122717 (111)
Blue River Traders,43105,87,650,50,0,722846,600,722846-2,0,,BLUE RIVER 010518 87
HiEnd Accents,43096,229279,79,5,0,722845,74,722845-3,0,,HIEND 010518 (69)
Silverado Home,43105,6465,280.48,10,0,722826,270.48,722826-1,0,,SILVERADO 010518 6465
WGI Gallery,43083,175872,70.02,3,0,722771,67.02,722771-2,0,,WGI 122917 175872
WILD WINGS,43076,337360,62,5,0,722700,57,722700-2,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (11.2)
WILD WINGS,43083,337896,35,0,0,722671,28.5,722671-1,-6.5,PO MISMATCH,WILD WINGS 122217 (7)
Kimlor,43083,838956,65.95,6.95,0,722558,59,722558-1,0,,KIMLOR 122217 (35)
WGI Gallery,43083,175872,137.04,3,0,722405,134.04,722405-1,0,,WGI 122917 175872
Artisans Gallery,43090,722364-2,151.8,19.8,0,722364,132,722364-2,0,,ARTISANS GALLERY 122717 722364-2
WGI Gallery,43083,175872,58.84,3,0,722296,55.84,722296-1,0,,WGI 122917 175872
Kimlor,43083,838955,122.95,6.95,0,722125,116,722125-1,0,,KIMLOR 122217 (35)
Universal Ironworks Inc,43074,13178,69,0,0,722058,69,722058-1,0,,UNIVERSAL 120517 13178
WGI Gallery,43083,175872,137.04,3,0,722057,134.04,722057-1,0,,WGI 122917 175872
Blue River Traders,43105,85,235,25,0,721941,210,721941-4,0,,BLUE RIVER 010518 85
WGI Gallery,43083,175872,70.02,3,0,721925,67.02,721925-1,0,,WGI 122917 175872
Kimlor,43084,839219,44.45,6.95,0,721895,37.5,721895-1,0,,KIMLOR 122717 (111)
Kimlor,43083,838954,145.7,6.95,0,721892,138.75,721892-1,0,,KIMLOR 122217 (35)
"Artistic & Custom Woodturning, Inc.",43087,5286,108,10,0,721886,98,721886-1,0,,ARTISTIC CUSTOM WOOD 122717 (3)
Kimlor,43083,838953,135.7,6.95,0,721840,128.75,721840-1,0,,KIMLOR 122217 (35)
WILD WINGS,43074,337179,100,5,0,721614,95,721614-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (11)
"Midwest-CBK, LLC",43084,9709720,50,5,0,721567,45,721567-2,0,,MIDWEST 122217 9709720
WILD WINGS,43074,337178,56.3,5,0,721427,51.3,721427-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (11)
Kimlor,43084,839218,62.95,6.95,0,721406,56,721406-1,0,,KIMLOR 122717 (111)
WILD WINGS,43087,338161,37.5,0,0,721366,35.62,721366-1,-1.88,PO MISMATCH,WILD WINGS 122717 (16)
"Midwest-CBK, LLC",43084,9709730,45,5,0,721208,40,721208-1,0,,MIDWEST 122217 9709730
"Artistic & Custom Woodturning, Inc.",43088,5287,108,10,0,721202,98,721202-1,0,,ARTISTIC CUSTOM WOOD 122717 (3)
WILD WINGS,43074,337177,56.3,5,0,721190,51.3,721190-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (11)
WILD WINGS,43076,337338,62,5,0,721159,57,721159-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (11.2)
WILD WINGS,43074,337176,76.25,5,0,721105,71.25,721105-1,0,Duplicate - NOT UPLOADED,WILD WINGS 122717 (11)
