asin,sku,cost,item_description,vendor,brand, map pricing 
B01M0AZ301,2CRJB6555,,Woodland Trails Bear & Tree Pillow,,,1000
B01MFBPVQS,2CRJB6558,,Black Forest Decor Faux Sheepskin Throw,,,1000
B01M8MANMC,2CRJB6559,,Black Forest Decor Dakota Sky Faux Sheepskin Pillow,,,1000
B01M7MNW1L,2CRJB6603,,Black Forest Decor Canyon Shadows Shower Curtain,,,1000
B01M0GSZ8S,2CRJB6606,,Black Forest Decor Skystone Turquoise Rod Pocket Southwest Valance,,,1000
B01LY6RMV9,2CRJB6608,,Cerrillos Hills Fringed Valance,,,1000
B01MR88ETW,2CRJB6610,,Southwest Shadows Valance,,,1000
B01MR88ENB,2CRJB6611,,Black Forest Decor Southwest Shadows Bed Set - Queen,,,1000
B01MTB93YY,2CRJB6613,,Black Forest Decor Southwest Shadows Euro Sham,,,1000
B01M1VML19,2CRJB6617,,Black Forest Decor Woodland Trails Bear Drapes,,,1000
B01LYU72RW,2CRJB6618,,Black Forest Decor Cerrillos Hills Turquoise Rod Pocket Valance,,,1000
B072LNNYFB,2CRJB6620,,Black Forest Decor Earth & Sky Three Horses Embroidered Pillow,,,1000
B01MY31DNV,2CRJB6628,,Black Forest Decor Printed Moose & Bear Valance,,,1000
B078V1YRPD,2CRJB6638,,Black Forest Décor Brown Fringe Pillow,,,1000
B071ZHY9HQ,2CRJB6650,,Black Forest Decor Sierra Bedskirt - Twin,,,1000
B078V4JNBV,2CRJB6750,,Black Forest Decor Hillside Bear Chenille Bed Set - Queen,,,1000
B078V52Y5V,2CRJB6751,,Black Forest Decor Hillside Bear Chenille Bed Set - King,,,1000
B078V44HRF,2CRJB6752,,Black Forest Decor Hillside Bear Chenille Valance,,,1000
B078TZDG7Q,2CRJB6754,,Gray Linen Bedskirt - Queen,,,1000
B078V4NX48,2CRJB6755,,Black Forest Decor Gray Linen Bedskirt - King,,,1000
B078V2BBQ9,2CRJB6761,,Black Forest Decor Turquoise Earth Bed Set - King,,,1000
B078V1VX9P,2CRJB6764,,Black Forest Decor Distressed Faux Leather Bedskirt - King,,,1000
B078V4FFHV,2CRJB6765,,Black Forest Decor Turquoise Earth Valance,,,1000
B078V6GLJ7,2CRJB6767,,Black Forest Decor Turquoise Earth 14 x 26 Pillow,,,1000
B078TZWG9L,2CRJB6768,,Black Forest Decor Turquoise Earth Neckroll Pillow,,,1000
B078V472PP,2CRJB6770,,Black Bears Applique Embroidered Pillow,,,1000
B07CYXHHN2,2CRJB6815,,Black Forest Decor Making The Moose Out of It Pillow,,,1000
B07CZ273HQ,2CRJB6818,,Black Forest Decor Turquoise Concho Pillow,,,1000
B07H17RQ3S,2CRJB6819,,Black Forest Decor Fringed Medallion Pillow,,,1000
B0723HBT56,2CRJCQFBS,,Cowgirl Full Bedskirt - OVERSTOCK,,,1000
